generic_name,commercial_name,presentation,active_substance,route,concentration,status
Diclofenaco,"Voltaren 700",Tabletas,Diclofenaco,Oftálmica,"50 mg/ml",active
Omeprazol,"Prilosec 800",Inhalador,Omeprazol,Inhalatoria,"10 mg",active
Enalapril,"Vasotec 800",Inhalador,Enalapril,Inhalatoria,"100 ml",active
Enalapril,"Vasotec 800",Suspensión,Enalapril,Oral,"50 mg",active
Ciprofloxacino,"Cipro 900",Jarabe,Ciprofloxacino,Sublingual,"500 mg",active
Salbutamol,"Ventolin 900",Pomada,Salbutamol,Oftálmica,"20 mg",active
Naproxeno,"Aleve 300",Tabletas,Naproxeno,Ótica,"100 mg",active
Clonazepam,"Klonopin 600",Supositorios,Clonazepam,Tópica,"5 ml",active
Fluoxetina,"Prozac 800",Pomada,Fluoxetina,Oftálmica,"50 mg",active
Ketorolaco,"Toradol 500",Gotas,Ketorolaco,Intramuscular,"50 mg/ml",active
Fluoxetina,"Prozac 100",Inhalador,Fluoxetina,Rectal,"850 mg",active
Omeprazol,"Prilosec 600",Inyectable,Omeprazol,Intramuscular,"10 mg",active
Metformina,"Glucophage 400",Inyectable,Metformina,Intravenosa,"50 mg",active
Azitromicina,"Zithromax 600",Inyectable,Azitromicina,Sublingual,"50 mg",active
Loratadina,"Claritin 400",Suspensión,Loratadina,Intramuscular,"2 mg",active
Ketorolaco,"Toradol 100",Supositorios,Ketorolaco,Oftálmica,"100 ml",active
Fluoxetina,"Prozac 700",Cápsulas,Fluoxetina,Inhalatoria,"50 mg",active
Ciprofloxacino,"Cipro 700",Tabletas,Ciprofloxacino,Oftálmica,"50 mg/ml",active
Amoxicilina,"Amoxil 900",Suspensión,Amoxicilina,Oral,"5 ml",active
Atorvastatina,"Lipitor 100",Tabletas,Atorvastatina,Inhalatoria,"100 ml",active
Dexametasona,"Decadron 400",Jarabe,Dexametasona,Oftálmica,"100 mg",active
Loratadina,"Claritin 500",Cápsulas,Loratadina,Intramuscular,"250 mg",active
Amoxicilina,"Amoxil 400",Suspensión,Amoxicilina,Intramuscular,"50 mg/ml",active
Clonazepam,"Klonopin 400",Crema,Clonazepam,Intravenosa,"20 mg",active
Enalapril,"Vasotec 100",Crema,Enalapril,Rectal,"500 mcg",active
Ibuprofeno,"Advil 800",Inyectable,Ibuprofeno,Oral,"50 mg/ml",active
Atorvastatina,"Lipitor 300",Cápsulas,Atorvastatina,Oral,"50 mg",active
Atorvastatina,"Lipitor 100",Tabletas,Atorvastatina,Intravenosa,"100 ml",active
Fluoxetina,"Prozac 200",Cápsulas,Fluoxetina,Inhalatoria,"250 mg",active
Losartan,"Cozaar 500",Pomada,Losartan,Inhalatoria,"2 mg",active
Paracetamol,"Tylenol 100",Inhalador,Paracetamol,Intravenosa,"500 mg",active
Salbutamol,"Ventolin 700",Gotas,Salbutamol,Sublingual,"100 ml",active
Ketorolaco,"Toradol 500",Crema,Ketorolaco,Intravenosa,"5 ml",active
Amoxicilina,"Amoxil 800",Supositorios,Amoxicilina,Intramuscular,"100 mg",active
Amoxicilina,"Amoxil 800",Inhalador,Amoxicilina,Tópica,"50 mg/ml",active
Fluoxetina,"Prozac 700",Inyectable,Fluoxetina,Intramuscular,"20 mg",active
Salbutamol,"Ventolin 400",Pomada,Salbutamol,Intravenosa,"500 mg",active
Ciprofloxacino,"Cipro 200",Crema,Ciprofloxacino,Oral,"5 ml",active
Ciprofloxacino,"Cipro 400",Inyectable,Ciprofloxacino,Rectal,"250 mg",active
Azitromicina,"Zithromax 300",Cápsulas,Azitromicina,Oral,"500 mg",active
Diclofenaco,"Voltaren 200",Suspensión,Diclofenaco,Intramuscular,"1 g",active
Amoxicilina,"Amoxil 600",Suspensión,Amoxicilina,Inhalatoria,"5 ml",active
Dexametasona,"Decadron 400",Pomada,Dexametasona,Sublingual,"500 mcg",active
Naproxeno,"Aleve 200",Crema,Naproxeno,Ótica,"500 mcg",active
Metformina,"Glucophage 800",Cápsulas,Metformina,Rectal,"20 mg",active
Diclofenaco,"Voltaren 400",Jarabe,Diclofenaco,Oftálmica,"850 mg",active
Dexametasona,"Decadron 100",Jarabe,Dexametasona,Oftálmica,"500 mg",active
Ceftriaxona,"Rocephin 300",Supositorios,Ceftriaxona,Inhalatoria,"50 mg/ml",active
Amoxicilina,"Amoxil 600",Crema,Amoxicilina,Sublingual,"500 mcg",active
Atorvastatina,"Lipitor 600",Inyectable,Atorvastatina,Intravenosa,"400 mg",active
Amoxicilina,"Amoxil 200",Suspensión,Amoxicilina,Intravenosa,"10 mg",active
Salbutamol,"Ventolin 600",Supositorios,Salbutamol,Intravenosa,"10 mg",active
Naproxeno,"Aleve 500",Crema,Naproxeno,Intramuscular,"50 mg",active
Loratadina,"Claritin 300",Suspensión,Loratadina,Ótica,"50 mg/ml",active
Fluoxetina,"Prozac 700",Supositorios,Fluoxetina,Oftálmica,"100 ml",active
Fluoxetina,"Prozac 400",Jarabe,Fluoxetina,Intramuscular,"500 mcg",active
Diclofenaco,"Voltaren 500",Gotas,Diclofenaco,Tópica,"50 mg/ml",active
Enalapril,"Vasotec 500",Tabletas,Enalapril,Oftálmica,"2 mg",active
Salbutamol,"Ventolin 700",Inyectable,Salbutamol,Intravenosa,"500 mg",active
Ketorolaco,"Toradol 700",Crema,Ketorolaco,Tópica,"50 mg/ml",active
Ibuprofeno,"Advil 300",Inyectable,Ibuprofeno,Intramuscular,"500 mg",active
Loratadina,"Claritin 500",Jarabe,Loratadina,Intravenosa,"500 mg",active
Diclofenaco,"Voltaren 800",Inyectable,Diclofenaco,Rectal,"500 mcg",active
Ceftriaxona,"Rocephin 400",Jarabe,Ceftriaxona,Sublingual,"850 mg",active
Omeprazol,"Prilosec 500",Crema,Omeprazol,Ótica,"250 mg",active
Paracetamol,"Tylenol 800",Inhalador,Paracetamol,Oral,"500 mcg",active
Ceftriaxona,"Rocephin 700",Cápsulas,Ceftriaxona,Ótica,"500 mcg",active
Clonazepam,"Klonopin 300",Inhalador,Clonazepam,Ótica,"100 ml",active
Loratadina,"Claritin 400",Crema,Loratadina,Intravenosa,"250 mg",active
Clonazepam,"Klonopin 900",Crema,Clonazepam,Intramuscular,"100 ml",active
Enalapril,"Vasotec 400",Cápsulas,Enalapril,Ótica,"250 mg",active
Dexametasona,"Decadron 600",Supositorios,Dexametasona,Intravenosa,"50 mg/ml",active
Ceftriaxona,"Rocephin 800",Supositorios,Ceftriaxona,Sublingual,"100 ml",active
Atorvastatina,"Lipitor 200",Inyectable,Atorvastatina,Intramuscular,"20 mg",active
Losartan,"Cozaar 500",Inhalador,Losartan,Intramuscular,"2 mg",active
Diclofenaco,"Voltaren 900",Supositorios,Diclofenaco,Ótica,"2 mg",active
Losartan,"Cozaar 600",Inhalador,Losartan,Intravenosa,"500 mcg",active
Fluoxetina,"Prozac 900",Pomada,Fluoxetina,Ótica,"400 mg",active
Diclofenaco,"Voltaren 400",Jarabe,Diclofenaco,Intravenosa,"850 mg",active
Losartan,"Cozaar 300",Crema,Losartan,Inhalatoria,"1 g",active
Amoxicilina,"Amoxil 300",Suspensión,Amoxicilina,Ótica,"50 mg/ml",active
Diclofenaco,"Voltaren 300",Gotas,Diclofenaco,Sublingual,"2 mg",active
Losartan,"Cozaar 800",Inhalador,Losartan,Intravenosa,"100 mg",active
Clonazepam,"Klonopin 100",Tabletas,Clonazepam,Tópica,"50 mg/ml",active
Ibuprofeno,"Advil 700",Cápsulas,Ibuprofeno,Inhalatoria,"400 mg",active
Losartan,"Cozaar 700",Inyectable,Losartan,Ótica,"850 mg",active
Ketorolaco,"Toradol 700",Pomada,Ketorolaco,Sublingual,"250 mg",active
Ceftriaxona,"Rocephin 300",Gotas,Ceftriaxona,Ótica,"50 mg",active
Ceftriaxona,"Rocephin 500",Supositorios,Ceftriaxona,Ótica,"10 mg",active
Naproxeno,"Aleve 300",Cápsulas,Naproxeno,Ótica,"500 mg",active
Loratadina,"Claritin 700",Suspensión,Loratadina,Ótica,"50 mg/ml",active
Losartan,"Cozaar 900",Pomada,Losartan,Oftálmica,"100 ml",active
Fluoxetina,"Prozac 800",Crema,Fluoxetina,Inhalatoria,"100 ml",active
Enalapril,"Vasotec 100",Inyectable,Enalapril,Rectal,"1 g",active
Ibuprofeno,"Advil 300",Gotas,Ibuprofeno,Oftálmica,"850 mg",active
Ciprofloxacino,"Cipro 600",Gotas,Ciprofloxacino,Rectal,"250 mg",active
Sertralina,"Zoloft 800",Jarabe,Sertralina,Inhalatoria,"2 mg",active
Clonazepam,"Klonopin 100",Inyectable,Clonazepam,Inhalatoria,"250 mg",active
Atorvastatina,"Lipitor 100",Suspensión,Atorvastatina,Rectal,"2 mg",active
Ibuprofeno,"Advil 800",Suspensión,Ibuprofeno,Ótica,"2 mg",active
Ceftriaxona,"Rocephin 700",Pomada,Ceftriaxona,Oral,"500 mg",active
Sertralina,"Zoloft 400",Cápsulas,Sertralina,Rectal,"50 mg",active
Amoxicilina,"Amoxil 600",Gotas,Amoxicilina,Oftálmica,"400 mg",active
Ceftriaxona,"Rocephin 500",Supositorios,Ceftriaxona,Ótica,"50 mg",active
Paracetamol,"Tylenol 500",Inhalador,Paracetamol,Rectal,"250 mg",active
Paracetamol,"Tylenol 700",Crema,Paracetamol,Oftálmica,"1 g",active
Naproxeno,"Aleve 400",Suspensión,Naproxeno,Ótica,"100 ml",active
Loratadina,"Claritin 200",Supositorios,Loratadina,Intramuscular,"10 mg",active
Sertralina,"Zoloft 200",Tabletas,Sertralina,Oral,"850 mg",active
Metformina,"Glucophage 800",Jarabe,Metformina,Intramuscular,"1 g",active
Salbutamol,"Ventolin 100",Inhalador,Salbutamol,Oral,"10 mg",active
Losartan,"Cozaar 200",Pomada,Losartan,Rectal,"250 mg",active
Diclofenaco,"Voltaren 500",Cápsulas,Diclofenaco,Oral,"100 mg",active
Ceftriaxona,"Rocephin 700",Cápsulas,Ceftriaxona,Oftálmica,"400 mg",active
Loratadina,"Claritin 500",Jarabe,Loratadina,Oral,"50 mg/ml",active
Amoxicilina,"Amoxil 800",Suspensión,Amoxicilina,Oral,"50 mg/ml",active
Paracetamol,"Tylenol 900",Inyectable,Paracetamol,Inhalatoria,"100 ml",active
Dexametasona,"Decadron 100",Crema,Dexametasona,Oftálmica,"100 ml",active
Amoxicilina,"Amoxil 900",Crema,Amoxicilina,Inhalatoria,"250 mg",active
Amoxicilina,"Amoxil 200",Gotas,Amoxicilina,Tópica,"50 mg",active
Ciprofloxacino,"Cipro 400",Supositorios,Ciprofloxacino,Oral,"500 mg",active
Naproxeno,"Aleve 200",Tabletas,Naproxeno,Intravenosa,"20 mg",active
Amoxicilina,"Amoxil 200",Crema,Amoxicilina,Ótica,"500 mg",active
Naproxeno,"Aleve 500",Tabletas,Naproxeno,Rectal,"20 mg",active
Salbutamol,"Ventolin 600",Gotas,Salbutamol,Oftálmica,"500 mcg",active
Amoxicilina,"Amoxil 300",Crema,Amoxicilina,Ótica,"100 ml",active
Fluoxetina,"Prozac 500",Cápsulas,Fluoxetina,Sublingual,"500 mcg",active
Ceftriaxona,"Rocephin 800",Pomada,Ceftriaxona,Ótica,"10 mg",active
Ketorolaco,"Toradol 200",Crema,Ketorolaco,Oftálmica,"100 ml",active
Fluoxetina,"Prozac 900",Pomada,Fluoxetina,Ótica,"500 mcg",active
Metformina,"Glucophage 600",Tabletas,Metformina,Ótica,"5 ml",active
Dexametasona,"Decadron 100",Crema,Dexametasona,Tópica,"100 ml",active
Ciprofloxacino,"Cipro 400",Gotas,Ciprofloxacino,Intramuscular,"50 mg",active
Paracetamol,"Tylenol 600",Suspensión,Paracetamol,Sublingual,"5 ml",active
Salbutamol,"Ventolin 500",Inhalador,Salbutamol,Inhalatoria,"1 g",active
Salbutamol,"Ventolin 900",Crema,Salbutamol,Sublingual,"2 mg",active
Metformina,"Glucophage 100",Gotas,Metformina,Intravenosa,"10 mg",active
Paracetamol,"Tylenol 500",Supositorios,Paracetamol,Sublingual,"10 mg",active
Ciprofloxacino,"Cipro 200",Cápsulas,Ciprofloxacino,Intravenosa,"250 mg",active
Clonazepam,"Klonopin 600",Supositorios,Clonazepam,Intramuscular,"500 mcg",active
Naproxeno,"Aleve 500",Cápsulas,Naproxeno,Oftálmica,"100 mg",active
Atorvastatina,"Lipitor 200",Suspensión,Atorvastatina,Oral,"5 ml",active
Omeprazol,"Prilosec 700",Crema,Omeprazol,Intramuscular,"20 mg",active
Diclofenaco,"Voltaren 300",Pomada,Diclofenaco,Rectal,"100 ml",active
Ibuprofeno,"Advil 800",Cápsulas,Ibuprofeno,Intramuscular,"850 mg",active
Dexametasona,"Decadron 900",Inhalador,Dexametasona,Intravenosa,"1 g",active
Salbutamol,"Ventolin 800",Jarabe,Salbutamol,Tópica,"500 mcg",active
Clonazepam,"Klonopin 600",Tabletas,Clonazepam,Intramuscular,"100 ml",active
Fluoxetina,"Prozac 800",Jarabe,Fluoxetina,Intravenosa,"1 g",active
Dexametasona,"Decadron 800",Tabletas,Dexametasona,Oral,"5 ml",active
Naproxeno,"Aleve 200",Tabletas,Naproxeno,Sublingual,"400 mg",active
Amoxicilina,"Amoxil 600",Inyectable,Amoxicilina,Intramuscular,"850 mg",active
Fluoxetina,"Prozac 400",Supositorios,Fluoxetina,Tópica,"500 mg",active
Naproxeno,"Aleve 600",Inhalador,Naproxeno,Tópica,"5 ml",active
Ciprofloxacino,"Cipro 200",Inhalador,Ciprofloxacino,Oftálmica,"10 mg",active
Enalapril,"Vasotec 200",Crema,Enalapril,Inhalatoria,"20 mg",active
Ciprofloxacino,"Cipro 600",Crema,Ciprofloxacino,Tópica,"100 ml",active
Sertralina,"Zoloft 400",Inyectable,Sertralina,Ótica,"50 mg",active
Salbutamol,"Ventolin 900",Suspensión,Salbutamol,Intravenosa,"10 mg",active
Paracetamol,"Tylenol 500",Cápsulas,Paracetamol,Rectal,"50 mg/ml",active
Ibuprofeno,"Advil 200",Tabletas,Ibuprofeno,Ótica,"50 mg/ml",active
Enalapril,"Vasotec 400",Inhalador,Enalapril,Intravenosa,"5 ml",active
Amoxicilina,"Amoxil 200",Suspensión,Amoxicilina,Oral,"50 mg/ml",active
Salbutamol,"Ventolin 300",Pomada,Salbutamol,Tópica,"500 mcg",active
Ibuprofeno,"Advil 800",Cápsulas,Ibuprofeno,Ótica,"500 mg",active
Atorvastatina,"Lipitor 500",Jarabe,Atorvastatina,Intravenosa,"1 g",active
Fluoxetina,"Prozac 700",Supositorios,Fluoxetina,Sublingual,"2 mg",active
Paracetamol,"Tylenol 100",Tabletas,Paracetamol,Ótica,"1 g",active
Paracetamol,"Tylenol 800",Inhalador,Paracetamol,Intravenosa,"500 mcg",active
Enalapril,"Vasotec 500",Suspensión,Enalapril,Intramuscular,"100 mg",active
Salbutamol,"Ventolin 500",Tabletas,Salbutamol,Inhalatoria,"1 g",active
Naproxeno,"Aleve 200",Pomada,Naproxeno,Oftálmica,"500 mg",active
Paracetamol,"Tylenol 600",Gotas,Paracetamol,Oftálmica,"850 mg",active
Ciprofloxacino,"Cipro 700",Inhalador,Ciprofloxacino,Inhalatoria,"10 mg",active
Ketorolaco,"Toradol 400",Inyectable,Ketorolaco,Ótica,"1 g",active
Ciprofloxacino,"Cipro 100",Inyectable,Ciprofloxacino,Intravenosa,"850 mg",active
Clonazepam,"Klonopin 600",Pomada,Clonazepam,Ótica,"500 mg",active
Losartan,"Cozaar 800",Suspensión,Losartan,Oral,"850 mg",active
Azitromicina,"Zithromax 100",Tabletas,Azitromicina,Tópica,"250 mg",active
Diclofenaco,"Voltaren 300",Jarabe,Diclofenaco,Ótica,"400 mg",active
Ketorolaco,"Toradol 700",Pomada,Ketorolaco,Oral,"500 mg",active
Azitromicina,"Zithromax 700",Pomada,Azitromicina,Oral,"1 g",active
Losartan,"Cozaar 200",Suspensión,Losartan,Intramuscular,"100 ml",active
Metformina,"Glucophage 700",Inyectable,Metformina,Inhalatoria,"50 mg/ml",active
Ketorolaco,"Toradol 500",Gotas,Ketorolaco,Tópica,"10 mg",active
Ketorolaco,"Toradol 400",Jarabe,Ketorolaco,Inhalatoria,"400 mg",active
Azitromicina,"Zithromax 900",Jarabe,Azitromicina,Ótica,"400 mg",active
Ceftriaxona,"Rocephin 100",Suspensión,Ceftriaxona,Tópica,"100 mg",active
Omeprazol,"Prilosec 700",Tabletas,Omeprazol,Inhalatoria,"250 mg",active
Ibuprofeno,"Advil 400",Supositorios,Ibuprofeno,Rectal,"20 mg",active
Metformina,"Glucophage 300",Gotas,Metformina,Rectal,"20 mg",active
Dexametasona,"Decadron 900",Suspensión,Dexametasona,Oral,"20 mg",active
Atorvastatina,"Lipitor 400",Supositorios,Atorvastatina,Rectal,"50 mg",active
Paracetamol,"Tylenol 900",Inyectable,Paracetamol,Intramuscular,"100 ml",active
Salbutamol,"Ventolin 700",Crema,Salbutamol,Inhalatoria,"10 mg",active
Sertralina,"Zoloft 400",Supositorios,Sertralina,Oftálmica,"50 mg/ml",active
Ibuprofeno,"Advil 100",Pomada,Ibuprofeno,Oral,"400 mg",active
Diclofenaco,"Voltaren 900",Jarabe,Diclofenaco,Tópica,"20 mg",active
Enalapril,"Vasotec 900",Pomada,Enalapril,Oral,"250 mg",active
Atorvastatina,"Lipitor 200",Suspensión,Atorvastatina,Intravenosa,"1 g",active
Amoxicilina,"Amoxil 600",Inhalador,Amoxicilina,Rectal,"50 mg",active
Fluoxetina,"Prozac 100",Cápsulas,Fluoxetina,Oftálmica,"5 ml",active
Azitromicina,"Zithromax 800",Cápsulas,Azitromicina,Intramuscular,"250 mg",active
Metformina,"Glucophage 900",Tabletas,Metformina,Intramuscular,"5 ml",active
Losartan,"Cozaar 500",Inyectable,Losartan,Tópica,"5 ml",active
Naproxeno,"Aleve 100",Gotas,Naproxeno,Tópica,"1 g",active
Sertralina,"Zoloft 500",Crema,Sertralina,Rectal,"10 mg",active
Omeprazol,"Prilosec 600",Pomada,Omeprazol,Sublingual,"10 mg",active
Clonazepam,"Klonopin 400",Inyectable,Clonazepam,Intramuscular,"500 mg",active
Amoxicilina,"Amoxil 300",Inyectable,Amoxicilina,Rectal,"2 mg",active
Loratadina,"Claritin 700",Supositorios,Loratadina,Intramuscular,"5 ml",active
Loratadina,"Claritin 700",Suspensión,Loratadina,Intravenosa,"2 mg",active
Naproxeno,"Aleve 800",Jarabe,Naproxeno,Intramuscular,"500 mcg",active
Sertralina,"Zoloft 700",Suspensión,Sertralina,Oftálmica,"400 mg",active
Azitromicina,"Zithromax 300",Gotas,Azitromicina,Sublingual,"400 mg",active
Paracetamol,"Tylenol 600",Inyectable,Paracetamol,Rectal,"500 mcg",active
Azitromicina,"Zithromax 200",Supositorios,Azitromicina,Tópica,"250 mg",active
Atorvastatina,"Lipitor 200",Suspensión,Atorvastatina,Rectal,"2 mg",active
Loratadina,"Claritin 200",Cápsulas,Loratadina,Inhalatoria,"20 mg",active
Naproxeno,"Aleve 900",Suspensión,Naproxeno,Oral,"5 ml",active
Clonazepam,"Klonopin 100",Inhalador,Clonazepam,Sublingual,"50 mg",active
Azitromicina,"Zithromax 300",Pomada,Azitromicina,Intravenosa,"2 mg",active
Ceftriaxona,"Rocephin 600",Suspensión,Ceftriaxona,Intravenosa,"50 mg/ml",active
Dexametasona,"Decadron 300",Jarabe,Dexametasona,Ótica,"2 mg",active
Ketorolaco,"Toradol 700",Supositorios,Ketorolaco,Oftálmica,"500 mg",active
Clonazepam,"Klonopin 800",Crema,Clonazepam,Tópica,"500 mg",active
Losartan,"Cozaar 600",Crema,Losartan,Intravenosa,"50 mg",active
Salbutamol,"Ventolin 200",Gotas,Salbutamol,Ótica,"2 mg",active
Atorvastatina,"Lipitor 200",Pomada,Atorvastatina,Intravenosa,"100 ml",active
Losartan,"Cozaar 400",Suspensión,Losartan,Sublingual,"250 mg",active
Ibuprofeno,"Advil 300",Suspensión,Ibuprofeno,Sublingual,"500 mg",active
Clonazepam,"Klonopin 100",Gotas,Clonazepam,Intravenosa,"50 mg",active
Naproxeno,"Aleve 600",Crema,Naproxeno,Tópica,"500 mg",active
Ketorolaco,"Toradol 700",Supositorios,Ketorolaco,Oftálmica,"50 mg/ml",active
Ceftriaxona,"Rocephin 900",Tabletas,Ceftriaxona,Sublingual,"50 mg",active
Losartan,"Cozaar 600",Crema,Losartan,Rectal,"250 mg",active
Omeprazol,"Prilosec 700",Inhalador,Omeprazol,Rectal,"100 mg",active
Ketorolaco,"Toradol 100",Pomada,Ketorolaco,Inhalatoria,"500 mg",active
Azitromicina,"Zithromax 600",Pomada,Azitromicina,Sublingual,"850 mg",active
Atorvastatina,"Lipitor 800",Suspensión,Atorvastatina,Oral,"250 mg",active
Ceftriaxona,"Rocephin 700",Suspensión,Ceftriaxona,Intravenosa,"50 mg",active
Omeprazol,"Prilosec 700",Gotas,Omeprazol,Intravenosa,"850 mg",active
Omeprazol,"Prilosec 400",Tabletas,Omeprazol,Tópica,"2 mg",active
Ketorolaco,"Toradol 400",Tabletas,Ketorolaco,Oftálmica,"500 mcg",active
Clonazepam,"Klonopin 200",Inhalador,Clonazepam,Intramuscular,"2 mg",active
Enalapril,"Vasotec 800",Cápsulas,Enalapril,Sublingual,"20 mg",active
Enalapril,"Vasotec 500",Pomada,Enalapril,Intravenosa,"50 mg",active
Omeprazol,"Prilosec 500",Cápsulas,Omeprazol,Oftálmica,"5 ml",active
Metformina,"Glucophage 700",Suspensión,Metformina,Intramuscular,"100 ml",active
Atorvastatina,"Lipitor 800",Inyectable,Atorvastatina,Intramuscular,"5 ml",active
Naproxeno,"Aleve 600",Inyectable,Naproxeno,Inhalatoria,"500 mg",active
Ciprofloxacino,"Cipro 800",Gotas,Ciprofloxacino,Intramuscular,"100 mg",active
Ciprofloxacino,"Cipro 700",Inhalador,Ciprofloxacino,Ótica,"400 mg",active
Salbutamol,"Ventolin 900",Supositorios,Salbutamol,Oftálmica,"50 mg/ml",active
Loratadina,"Claritin 800",Inyectable,Loratadina,Ótica,"400 mg",active
Metformina,"Glucophage 700",Crema,Metformina,Oral,"100 ml",active
Metformina,"Glucophage 800",Inhalador,Metformina,Sublingual,"100 mg",active
Ceftriaxona,"Rocephin 300",Jarabe,Ceftriaxona,Intramuscular,"50 mg",active
Ciprofloxacino,"Cipro 700",Inyectable,Ciprofloxacino,Tópica,"400 mg",active
Paracetamol,"Tylenol 500",Inhalador,Paracetamol,Intramuscular,"500 mcg",active
Ceftriaxona,"Rocephin 700",Inyectable,Ceftriaxona,Rectal,"10 mg",active
Loratadina,"Claritin 800",Tabletas,Loratadina,Intravenosa,"100 mg",active
Dexametasona,"Decadron 200",Inyectable,Dexametasona,Oral,"100 mg",active
Naproxeno,"Aleve 400",Gotas,Naproxeno,Oral,"50 mg",active
Amoxicilina,"Amoxil 700",Crema,Amoxicilina,Tópica,"1 g",active
Atorvastatina,"Lipitor 400",Jarabe,Atorvastatina,Oral,"500 mcg",active
Ceftriaxona,"Rocephin 400",Inhalador,Ceftriaxona,Ótica,"100 mg",active
Salbutamol,"Ventolin 600",Tabletas,Salbutamol,Ótica,"50 mg",active
Amoxicilina,"Amoxil 900",Suspensión,Amoxicilina,Intravenosa,"5 ml",active
Paracetamol,"Tylenol 800",Inhalador,Paracetamol,Intravenosa,"50 mg",active
Salbutamol,"Ventolin 200",Cápsulas,Salbutamol,Oftálmica,"400 mg",active
Naproxeno,"Aleve 200",Inyectable,Naproxeno,Rectal,"10 mg",active
Metformina,"Glucophage 900",Suspensión,Metformina,Ótica,"1 g",active
Azitromicina,"Zithromax 800",Inyectable,Azitromicina,Rectal,"850 mg",active
Fluoxetina,"Prozac 900",Pomada,Fluoxetina,Intramuscular,"20 mg",active
Salbutamol,"Ventolin 600",Pomada,Salbutamol,Intramuscular,"500 mcg",active
Atorvastatina,"Lipitor 100",Crema,Atorvastatina,Intramuscular,"850 mg",active
Diclofenaco,"Voltaren 300",Suspensión,Diclofenaco,Sublingual,"100 ml",active
Azitromicina,"Zithromax 900",Inhalador,Azitromicina,Tópica,"100 ml",active
Paracetamol,"Tylenol 400",Inhalador,Paracetamol,Oral,"850 mg",active
Amoxicilina,"Amoxil 400",Supositorios,Amoxicilina,Sublingual,"50 mg",active
Paracetamol,"Tylenol 200",Inhalador,Paracetamol,Intravenosa,"5 ml",active
Ciprofloxacino,"Cipro 200",Cápsulas,Ciprofloxacino,Oral,"500 mg",active
Losartan,"Cozaar 600",Cápsulas,Losartan,Tópica,"100 ml",active
Amoxicilina,"Amoxil 900",Supositorios,Amoxicilina,Ótica,"250 mg",active
Atorvastatina,"Lipitor 400",Gotas,Atorvastatina,Oral,"850 mg",active
Salbutamol,"Ventolin 100",Tabletas,Salbutamol,Sublingual,"50 mg",active
Ciprofloxacino,"Cipro 100",Crema,Ciprofloxacino,Intravenosa,"850 mg",active
Enalapril,"Vasotec 100",Pomada,Enalapril,Oftálmica,"100 mg",active
Naproxeno,"Aleve 300",Tabletas,Naproxeno,Oftálmica,"500 mg",active
Omeprazol,"Prilosec 800",Pomada,Omeprazol,Tópica,"500 mg",active
Losartan,"Cozaar 300",Inhalador,Losartan,Intravenosa,"250 mg",active
Atorvastatina,"Lipitor 700",Tabletas,Atorvastatina,Sublingual,"100 ml",active
Ciprofloxacino,"Cipro 600",Inhalador,Ciprofloxacino,Tópica,"100 ml",active
Sertralina,"Zoloft 100",Inyectable,Sertralina,Oftálmica,"500 mg",active
Enalapril,"Vasotec 700",Cápsulas,Enalapril,Tópica,"400 mg",active
Ibuprofeno,"Advil 700",Crema,Ibuprofeno,Ótica,"50 mg/ml",active
Fluoxetina,"Prozac 900",Inyectable,Fluoxetina,Ótica,"50 mg/ml",active
Salbutamol,"Ventolin 900",Tabletas,Salbutamol,Rectal,"250 mg",active
Losartan,"Cozaar 500",Pomada,Losartan,Intravenosa,"5 ml",active
Omeprazol,"Prilosec 700",Pomada,Omeprazol,Intramuscular,"20 mg",active
Diclofenaco,"Voltaren 300",Tabletas,Diclofenaco,Intramuscular,"1 g",active
Losartan,"Cozaar 600",Jarabe,Losartan,Ótica,"1 g",active
Enalapril,"Vasotec 300",Cápsulas,Enalapril,Sublingual,"5 ml",active
Ketorolaco,"Toradol 700",Supositorios,Ketorolaco,Sublingual,"850 mg",active
Fluoxetina,"Prozac 300",Suspensión,Fluoxetina,Oral,"50 mg/ml",active
Clonazepam,"Klonopin 500",Gotas,Clonazepam,Rectal,"20 mg",active
Diclofenaco,"Voltaren 300",Tabletas,Diclofenaco,Oftálmica,"100 mg",active
Fluoxetina,"Prozac 800",Inhalador,Fluoxetina,Oral,"500 mcg",active
Clonazepam,"Klonopin 900",Inyectable,Clonazepam,Inhalatoria,"100 mg",active
Omeprazol,"Prilosec 100",Suspensión,Omeprazol,Inhalatoria,"10 mg",active
Diclofenaco,"Voltaren 600",Gotas,Diclofenaco,Oftálmica,"400 mg",active
Sertralina,"Zoloft 500",Inhalador,Sertralina,Rectal,"100 ml",active
Dexametasona,"Decadron 800",Crema,Dexametasona,Oral,"20 mg",active
Enalapril,"Vasotec 800",Supositorios,Enalapril,Intramuscular,"50 mg/ml",active
Diclofenaco,"Voltaren 400",Suspensión,Diclofenaco,Oral,"5 ml",active
Azitromicina,"Zithromax 100",Jarabe,Azitromicina,Intravenosa,"250 mg",active
Sertralina,"Zoloft 300",Gotas,Sertralina,Sublingual,"50 mg",active
Metformina,"Glucophage 800",Tabletas,Metformina,Intravenosa,"2 mg",active
Paracetamol,"Tylenol 300",Gotas,Paracetamol,Inhalatoria,"5 ml",active
Enalapril,"Vasotec 800",Pomada,Enalapril,Inhalatoria,"2 mg",active
Enalapril,"Vasotec 900",Crema,Enalapril,Sublingual,"250 mg",active
Losartan,"Cozaar 900",Gotas,Losartan,Inhalatoria,"400 mg",active
